Date,Open,High,Low,Close,Adj Close,Volume,Nxt Close
10/14/2020,0.109298,0.112231,0.105712,0.107297,0.107297,713264193,0.106635
10/15/2020,0.107217,0.107591,0.104979,0.106635,0.106635,562197282,0.104064
10/16/2020,0.106748,0.107317,0.102537,0.104064,0.104064,553561875,0.106104
10/17/2020,0.104218,0.106979,0.103366,0.106104,0.106104,472005227,0.107388
10/18/2020,0.106044,0.107601,0.105305,0.107388,0.107388,432851135,0.108677
10/19/2020,0.107416,0.110921,0.106188,0.108677,0.108677,490775170,0.102494
10/20/2020,0.108614,0.108841,0.101226,0.102494,0.102494,707955236,0.106187
10/21/2020,0.102519,0.108286,0.101831,0.106187,0.106187,779410099,0.110572
10/22/2020,0.106056,0.112414,0.105482,0.110572,0.110572,933335641,0.108083
10/23/2020,0.110698,0.111754,0.105602,0.108083,0.108083,1110973427,0.108075
10/24/2020,0.108083,0.109662,0.107539,0.108075,0.108075,868194497,0.106351
10/25/2020,0.108075,0.10873,0.106178,0.106351,0.106351,722743351,0.103097
10/26/2020,0.106351,0.107381,0.09943,0.103097,0.103097,880221833,0.102827
10/27/2020,0.103097,0.10549,0.10207,0.102827,0.102827,913522302,0.098977
10/28/2020,0.102827,0.103349,0.09557,0.098977,0.098977,876721856,0.095376
10/29/2020,0.098977,0.100712,0.095,0.095376,0.095376,883054980,0.093369
10/30/2020,0.095376,0.095587,0.090363,0.093369,0.093369,855782606,0.093056
10/31/2020,0.093369,0.09527,0.092208,0.093056,0.093056,662592019,0.098197
11/1/2020,0.093056,0.098487,0.092853,0.098197,0.098197,609565849,0.092143
11/2/2020,0.098197,0.099935,0.091766,0.092143,0.092143,817756720,0.093434
11/3/2020,0.092143,0.093834,0.088048,0.093434,0.093434,859629132,0.095369
11/4/2020,0.093435,0.096002,0.092127,0.095369,0.095369,1041738046,0.096994
11/5/2020,0.095369,0.097573,0.092214,0.096994,0.096994,554496502,0.109105
11/6/2020,0.096994,0.109683,0.096721,0.109105,0.109105,717731180,0.101379
11/7/2020,0.109105,0.113187,0.099408,0.101379,0.101379,861840304,0.106621
11/8/2020,0.101379,0.108298,0.100179,0.106621,0.106621,625787081,0.105325
11/9/2020,0.106621,0.107971,0.101456,0.105325,0.105325,802272882,0.105805
11/10/2020,0.105326,0.108621,0.103939,0.105805,0.105805,700753239,0.105965
11/11/2020,0.105805,0.108403,0.10554,0.105965,0.105965,631585357,0.104525
11/12/2020,0.105965,0.106512,0.102827,0.104525,0.104525,634274545,0.106391
11/13/2020,0.104525,0.107801,0.104062,0.106391,0.106391,477838893,0.104202
11/14/2020,0.106391,0.106841,0.101736,0.104202,0.104202,432474021,0.100531
11/15/2020,0.104202,0.105061,0.098801,0.100531,0.100531,358303858,0.104008
11/16/2020,0.100531,0.104893,0.099656,0.104008,0.104008,400498894,0.1096
11/17/2020,0.10548,0.11197,0.105112,0.1096,0.1096,622568575,0.106403
11/18/2020,0.1096,0.111523,0.103546,0.106403,0.106403,692683324,0.105866
11/19/2020,0.106402,0.107721,0.104525,0.105866,0.105866,590674105,0.118226
11/20/2020,0.105866,0.118231,0.105778,0.118226,0.118226,688553865,0.132945
11/21/2020,0.118226,0.133603,0.116771,0.132945,0.132945,1385060442,0.14476
