Average Miss,Average r^2,Average daily range
6.373182762373522,0.9765689988109758,9.983593055256451
6.962284271170627,0.9793634954557928,10.878556381818072
4.274115969233079,0.9902243802610692,10.30802149026209
5.819299530671672,0.9895008476093028,9.527223071234628
6.106907839791737,0.9843885530378879,11.257820228733962
5.530180651194651,0.9901444700839169,9.439172301202596
5.942220238071559,0.9825376409524391,10.314672574830634
5.3987904952173675,0.9881135349993573,11.671276870283673
5.269744903638386,0.9903805137671419,9.952785860210799
3.4531364338248105,0.9945812796725877,9.910026083483313
7.502036103477211,0.9799079157444479,10.648208753170454
7.8997683844818205,0.9679784605332608,9.630719524854968
5.494769091090205,0.9851909529670245,10.498386227750366
6.52118931600797,0.9810820777914839,12.692882242748285
7.231507351186255,0.9747938014890359,11.358601947990614
4.835533852566765,0.991214455329193,9.00164817810281
7.5991144885175945,0.9726541767994424,9.519015038193093
5.876997593554687,0.9811955515245919,9.062260014602655
5.857689534363401,0.9834852735554978,9.832391810598981
5.152282383866947,0.9899556933536976,9.166883411333494
5.373478898512792,0.9878966196378024,10.02011100819746
4.5898318993037,0.993493130483517,10.674088425201308
4.839445165457037,0.9935816980023235,10.334605431778897
5.796454782344036,0.9874507987176023,9.189795164124964
4.576708420541653,0.9929484876642624,10.195123554707651
4.938457638477255,0.9878612786539775,10.63941827244155
4.542620857244119,0.9910754488248898,9.677068198628472
6.583279601609379,0.976730755732084,10.123421716366066
4.572522602210831,0.9922806486360682,11.585137718204138

